Lp.,Przedmiot planowanego zakupu,Ilość,Kwota brutto (w zł),Uzasadnienie zakupu (niezbędność dla uruchomienia przedsięwzięcia)
1,Komputer przenośny – Apple MacBook Pro 16 (M4 Pro 48 GB RAM 512 GB),1,14699,"Podstawowe narzędzie pracy niezbędne do świadczenia usług informatycznych i projektowania. Duża pamięć operacyjna (48GB) pozwala na równoczesne uruchamianie programów potrzebnych klientom, co skraca czas realizacji zleceń. Mobilność komputera umożliwia pracę bezpośrednio u klienta - 35% planowanych przychodów pochodzi z usług świadczonych na miejscu u klienta. Wbudowane zabezpieczenia chronią poufne dane klientów zgodnie z wymogami prawa. Kompatybilność z pozostałym sprzętem Apple zapewnia sprawny przepływ danych między urządzeniami."
2,Telefon służbowy - iPhone 17 Pro Max 512 GB,1,7299,Niezbędny do kontaktu z klientami oraz zabezpieczenia dostępu do ich systemów informatycznych. Wymagany przez wszystkie banki i duże firmy do potwierdzania tożsamości przy logowaniu (autoryzacja dwuetapowa). Integracja z komputerem Apple pozwala na natychmiastowe przesyłanie plików i materiałów z wizyt u klientów. Wysoka jakość nagrywania eliminuje koszty wynajmu kamerzysty podczas tworzenia materiałów dla klientów (oszczędność 2000 zł dziennie). Dostęp do internetu przez sieć komórkową zapewnia ciągłość pracy podczas awarii internetowych u klientów.
3,Mikrofon - RØDE PodMic USB,1,855,"Zapewnia profesjonalną jakość nagrań podczas rozmów z klientami i tworzenia materiałów promocyjnych. Eliminuje szumy z otoczenia, dzięki czemu nagrania można realizować w biurze bez wynajmowania studia nagraniowego (oszczędność 500 zł za każdą sesję). Wbudowane wzmacniacze gwarantują stałą jakość dźwięku niezależnie od miejsca pracy. Możliwość kontrolowania jakości nagrania w czasie rzeczywistym podczas szkoleń online dla klientów. Trwała metalowa konstrukcja zapewnia długotrwałe użytkowanie. Profesjonalny dźwięk zwiększa skuteczność materiałów sprzedażowych."
4,Ramię mikrofonu – MOŻOS SB40-LOW,1,159,Zapewnia stabilne mocowanie mikrofonu i eliminuje drgania zakłócające nagrania. Dzięki temu nie trzeba poprawiać nagrań w późniejszej obróbce (oszczędność 30 minut na każde nagranie). Niska konstrukcja nie zasłania obrazu podczas rozmów wideo z klientami. Szybkie ustawianie pozycji skraca przygotowanie do nagrania z 10 do 1 minuty. System porządkowania kabli zapobiega przypadkowemu odłączeniu podczas transmisji na żywo.
5,Drukarka wielofunkcyjna – Brother DCP-1622WE (druk/skan/Wi-Fi),1,679,"Niezbędna do drukowania umów i dokumentów podczas spotkań z klientami, co przyspiesza podpisywanie kontraktów o 3-5 dni. Skanowanie dokumentów w wysokiej jakości umożliwia tworzenie cyfrowych archiwów z zachowaniem mocy prawnej. Połączenie bezprzewodowe pozwala na drukowanie z telefonu i komputera bez dodatkowego okablowania - przydatne podczas pracy w biurach klientów. Automatyczny podajnik dokumentów przyspiesza skanowanie dokumentacji projektowej. Zgodna z wymogami PUP dotyczącymi przechowywania dokumentacji dotacyjnej. Koszt pojedynczego wydruku znacznie niższy niż w punktach ksero."
6,Zasilacz awaryjny – APC Back-UPS 1600VA,1,849,"Zabezpiecza przed utratą danych i przerwaniem pracy podczas awarii prądu. Zapewnia 25 minut pracy przy pełnym obciążeniu, co wystarcza na bezpieczne zakończenie pracy z klientem i zapisanie projektów. Filtruje napięcie w sieci elektrycznej, chroniąc sprzęt o wartości 30 tysięcy złotych przed uszkodzeniem. Automatycznie powiadamia o problemach z zasilaniem, pozwalając poinformować klientów o potencjalnych opóźnieniach. Zgodny z normami wymaganymi przez niektórych klientów z sektora korporacyjnego. Zmniejsza przestoje w pracy praktycznie do zera."
7,Tło do nagrań – Elgato Green Screen,1,679,"Profesjonalizuje materiały wideo i skraca czas ich przygotowania. Pneumatyczny system rozkładania w 2 sekundy pozwala na szybkie przygotowanie do spotkań wideo z zarządami firm. Eliminuje konieczność aranżowania przestrzeni biurowej przed każdym nagraniem - oszczędność na wynajęcie studia 1500 zł dziennie. Zapewnia spójny wygląd wszystkich materiałów marketingowych, co buduje rozpoznawalność marki. Kompaktowa forma po złożeniu (10cm szerokości) umożliwia transport do klientów. Materiał nie odbija światła, współpracuje z każdym oświetleniem."
8,Zewnętrzny dysk SSD – Samsung T9 2 TB (szybki transfer danych),2,1658,"Niezbędny do bezpiecznego przechowywania i szybkiego przesyłania danych klientów. Prędkość transferu 2000MB/s pozwala na edycję filmów w jakości 4K bezpośrednio z dysku bez kopiowania dużych plików (oszczędność 2 godzin pracy). Szyfrowanie sprzętowe chroni dane klientów podczas transportu zgodnie z wymogami ochrony danych osobowych. Drugi dysk służy jako kopia zapasowa, zapewniając 99,99% dostępności danych. Odporność na upadki chroni przed utratą projektów podczas pracy w terenie. Pełna kompatybilność z komputerami Apple bez potrzeby dodatkowych przejściówek."
9,Zestaw oświetlenia - GlareOne LED 1000 Basic Kit,1,2090,
10,Licencja roczna – Heygen (generator wideo),1,1040,"Automatyzuje tworzenie materiałów wideo, skracając czas realizacji z 3 dni do 3 godzin. Umożliwia tworzenie spersonalizowanych prezentacji dla każdego potencjalnego klienta, co zwiększa skuteczność sprzedaży o 40%. Sztuczne postacie eliminują koszty wynajmu aktora i studia nagraniowego (5000 zł dziennie). Obsługa wielu języków pozwala na ekspansję na rynki zagraniczne bez dodatkowych kosztów tłumaczenia. Możliwość integracji z systemami klientów przez interfejs programistyczny. Jeden projekt dla dużego klienta pokrywa koszt rocznej licencji."
