column_name,data_type,is_nullable,column_default,character_maximum_length
id,uuid,NO,uuid_generate_v4(),null
user_id,uuid,YES,null,null
name,text,NO,null,null
email,text,NO,null,null
phone,text,YES,null,null
company_name,text,NO,null,null
nip,text,YES,null,null
regon,text,YES,null,null
krs,text,YES,null,null
ceidg,text,YES,null,null
legal_form,text,YES,'spółka z ograniczoną odpowiedzialnością'::text,null
headquarters_address,text,YES,null,null
client_id,text,NO,null,null
xml_url,text,YES,null,null
md5_url,text,YES,null,null
status,text,YES,'trial'::text,null
subscription_plan,text,YES,'basic'::text,null
subscription_status,text,YES,'trial'::text,null
subscription_ends_at,timestamp with time zone,YES,null,null
registration_completed,boolean,YES,false,null
custom_domain,text,YES,null,null
presentation_url,text,YES,null,null
presentation_generated_at,timestamp with time zone,YES,null,null
created_at,timestamp with time zone,YES,now(),null
updated_at,timestamp with time zone,YES,now(),null
forma_prawna,character varying,YES,null,100
